0,5,1.8066794,['Target'],475266,,,MeanRT participant 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,10,3.0770307,['Target'],475266,,,,,,,,,,,112,5,2.0315325,['Target'],475266,,,,,,,,,,44,5,2.1324432,['Target'],682694,,31,10,1.5600036,['Target'],682694
120,5,1.6991075,['Target'],475266,,,,,,,,,,,113,5,1.4841894,['Target'],475266,,,,,,,,,,45,5,1.2362911,['Target'],682694,,32,10,1.5463864,['Target'],682694
121,5,1.634462,['Target'],475266,,,,,,,,,,,114,5,1.9003151,['Target'],475266,,,,,,,,,,50,5,1.3914422,['Target'],682694,,34,10,1.8528131,['Target'],682694
122,10,1.3941631,['Target'],475266,,,,,,,,,,,115,5,2.1542094,['Target'],475266,,,,,,,,,,52,5,1.0432406,['Target'],682694,,37,10,1.3270539,['Target'],682694
123,5,1.9412058,['Target'],475266,,,,,,,,,,,116,10,1.5797427,['Target'],475266,,,,,,,,,,55,5,1.7500478,['Target'],682694,,38,10,1.4627592,['Target'],682694
124,10,2.3052711,['Target'],475266,,,,,,,,,,,117,10,2.0268696,['Target'],475266,,,,,,,,,,58,5,1.4403294,['Target'],682694,,39,10,1.1668759,['Target'],682694
125,5,1.7481883,['Target'],475266,,,,,,,,,,,118,10,1.5238641,['Target'],475266,,,,,,,,,,59,5,2.0937261,['Target'],682694,,40,10,1.1305846,['Target'],682694
126,10,2.2073137,['Target'],475266,,,,,,,,,,,119,10,3.0770307,['Target'],475266,,,,,,,,,,61,5,1.8158755,['Target'],682694,,42,10,1.1916505,['Target'],682694
127,10,1.9386006,['Target'],475266,,,,,,,,,,,120,5,1.6991075,['Target'],475266,,,,,,,,,,62,5,0.8787381,['Target'],682694,,43,10,2.7562178,['Target'],682694
128,5,1.5504787,['Target'],475266,,,,,,,,,,,121,5,1.634462,['Target'],475266,,,,,,,,,,63,5,1.7030266,['Target'],682694,,46,10,1.2699557,['Target'],682694
129,10,1.6245173,['Target'],475266,,,,,,,,,,,122,10,1.3941631,['Target'],475266,,,,,,,,,,68,5,1.0662176,['Target'],682694,,47,10,1.0306896,['Target'],682694
130,5,2.0726837,['Target'],475266,,,,,,,,,,,123,5,1.9412058,['Target'],475266,,,,,,,,,,69,5,1.5782405,['Target'],682694,,48,10,1.1308444,['Target'],682694
131,10,1.9887537,['Target'],475266,,,,,,,,,,,124,10,2.3052711,['Target'],475266,,,,,,,,,,70,5,1.3695163,['Target'],682694,,49,10,2.6932045,['Target'],682694
132,10,1.2756873,['Target'],475266,,,,,,,,,,,125,5,1.7481883,['Target'],475266,,,,,,,,,,72,5,1.0492387,['Target'],682694,,51,10,1.7499726,['Target'],682694
133,10,2.2721302,['Target'],475266,,,,,,,,,,,126,10,2.2073137,['Target'],475266,,,,,,,,,,74,5,1.75126,['Target'],682694,,53,10,1.4545511,['Target'],682694
134,5,1.8331847,['Target'],475266,,,,,,,,,,,127,10,1.9386006,['Target'],475266,,,,,,,,,,75,5,1.3867023,['Target'],682694,,54,10,2.3318836,['Target'],682694
135,10,1.9149665,['Target'],475266,,,,,,,,,,,128,5,1.5504787,['Target'],475266,,,,,,,,,,78,5,1.2170239,['Target'],682694,,56,10,1.836862,['Target'],682694
136,5,1.54232,['Target'],475266,,,,,,,,,,,129,10,1.6245173,['Target'],475266,,,,,,,,,,79,5,1.2573274,['Target'],682694,,57,10,1.475954,['Target'],682694
137,10,2.0694818,['Target'],475266,,,,,,,,,,,130,5,2.0726837,['Target'],475266,,,,,,,,,,87,5,1.2685198,['Target'],682694,,60,10,1.921498,['Target'],682694
138,5,1.6469282,['Target'],475266,,,,,,,,,,,131,10,1.9887537,['Target'],475266,,,,,,,,,,88,5,3.1297877,['Target'],682694,,64,10,1.6592471,['Target'],682694
139,5,1.5184417,['Target'],475266,,,,,,,,,,,132,10,1.2756873,['Target'],475266,,,,,,,,,,89,5,2.005982,['Target'],682694,,65,10,1.0398322,['Target'],682694
140,5,1.8993422,['Target'],475266,,,,,,,,,,,133,10,2.2721302,['Target'],475266,,,,,,,,,,90,5,1.7325491,['Target'],682694,,66,10,1.2599027,['Target'],682694
141,5,2.1617693,['Target'],475266,,,,,,,,,,,134,5,1.8331847,['Target'],475266,,,,,,,,,,92,5,1.7156147,['Target'],682694,,67,10,1.8852027,['Target'],682694
142,10,1.4996718,['Target'],475266,,,,,,,,,,,135,10,1.9149665,['Target'],475266,,,,,,,,,,93,5,1.0471239,['Target'],682694,,71,10,1.7937894,['Target'],682694
143,10,2.4599393,['Target'],475266,,,,,,,,,,,136,5,1.54232,['Target'],475266,,,,,,,,,,98,5,1.7667678,['Target'],682694,,73,10,1.6107021,['Target'],682694
144,5,1.2975814,['Target'],475266,,,,,,,,,,,137,10,2.0694818,['Target'],475266,,,,,,,,,,99,5,1.314501,['Target'],682694,,76,10,2.1385309,['Target'],682694
145,10,1.3828225,['Target'],475266,,,,,,,,,,,138,5,1.6469282,['Target'],475266,,,,,,,,,,103,5,1.35065,['Target'],682694,,77,10,1.2280013,['Target'],682694
146,10,1.7636993,['Target'],475266,,,,,,,,,,,139,5,1.5184417,['Target'],475266,,,,,,,,,,104,5,1.2302497,['Target'],682694,,80,10,1.1594012,['Target'],682694
147,5,1.5243211,['Target'],475266,,,,,,,,,,,140,5,1.8993422,['Target'],475266,,,,,,,,,,105,5,1.0485903,['Target'],682694,,81,10,1.3944475,['Target'],682694
148,5,1.367544,['Target'],475266,,,,,,,,,,,141,5,2.1617693,['Target'],475266,,,,,,,,,,107,5,2.6493184,['Target'],682694,,82,10,1.6174415,['Target'],682694
149,5,2.0155466,['Target'],475266,,,,,,,,,,,142,10,1.4996718,['Target'],475266,,,,,,,,,,108,5,1.5317622,['Target'],682694,,83,10,1.4636741,['Target'],682694
150,5,1.3166126,['Target'],475266,,,,,,,,,,,143,10,2.4599393,['Target'],475266,,,,,,,,,,110,5,2.3343894,['Target'],682694,,84,10,1.3939032,['Target'],682694
151,5,2.1515193,['Target'],475266,,,,,,,,,,,144,5,1.2975814,['Target'],475266,,,,,,,,,,112,5,1.5170404,['Target'],682694,,85,10,1.2903378,['Target'],682694
152,10,2.4255002,['Target'],475266,,,,,,,,,,,145,10,1.3828225,['Target'],475266,,,,,,,,,,118,5,1.6006406,['Target'],682694,,86,10,2.163437,['Target'],682694
153,5,1.988111,['Target'],475266,,,,,,,,,,,146,10,1.7636993,['Target'],475266,,,,,,,,,,124,5,2.0328676,['Target'],682694,,91,10,1.1613546,['Target'],682694
154,5,2.0474761,['Target'],475266,,,,,,,,,,,147,5,1.5243211,['Target'],475266,,,,,,,,,,125,5,2.0475138,['Target'],682694,,94,10,1.8216515,['Target'],682694
155,5,2.5286212,['Target'],475266,,,,,,,,,,,148,5,1.367544,['Target'],475266,,,,,,,,,,126,5,1.1640357,['Target'],682694,,95,10,2.4418694,['Target'],682694
156,5,2.1839501,['Target'],475266,,,,,,,,,,,149,5,2.0155466,['Target'],475266,,,,,,,,,,127,5,1.4973071,['Target'],682694,,96,10,2.3803006,['Target'],682694
157,10,1.5078579,['Target'],475266,,,,,,,,,,,150,5,1.3166126,['Target'],475266,,,,,,,,,,128,5,1.3810592,['Target'],682694,,97,10,1.2541874,['Target'],682694
158,5,1.4411738,['Target'],475266,,,,,,,,,,,151,5,2.1515193,['Target'],475266,,,,,,,,,,132,5,1.3317095,['Target'],682694,,100,10,1.5923595,['Target'],682694
159,5,2.3640373,['Target'],475266,,,,,,,,,,,152,10,2.4255002,['Target'],475266,,,,,,,,,,133,5,1.7923486,['Target'],682694,,101,10,2.4268621,['Target'],682694
160,5,2.5519841,['Target'],475266,,,,,,,,,,,153,5,1.988111,['Target'],475266,,,,,,,,,,135,5,1.7981951,['Target'],682694,,102,10,1.3730833,['Target'],682694
161,10,1.4219197,['Target'],475266,,,,,,,,,,,154,5,2.0474761,['Target'],475266,,,,,,,,,,137,5,2.1169622,['Target'],682694,,106,10,1.7733878,['Target'],682694
162,5,1.9818504,['Target'],475266,,,,,,,,,,,155,5,2.5286212,['Target'],475266,,,,,,,,,,142,5,1.2990833,['Target'],682694,,109,10,1.8752873,['Target'],682694
163,10,2.7572785,['Target'],475266,,,,,,,,,,,156,5,2.1839501,['Target'],475266,,,,,,,,,,147,5,1.3345512,['Target'],682694,,111,10,1.3536788,['Target'],682694
164,5,1.1833748,['Target'],475266,,,,,,,,,,,157,10,1.5078579,['Target'],475266,,,,,,,,,,148,5,1.9130628,['Target'],682694,,113,10,1.452005,['Target'],682694
165,5,2.1283754,['Target'],475266,,,,,,,,,,,158,5,1.4411738,['Target'],475266,,,,,,,,,,152,5,1.5181511,['Target'],682694,,114,10,2.589284,['Target'],682694
166,10,2.0689208,['Target'],475266,,,,,,,,,,,159,5,2.3640373,['Target'],475266,,,,,,,,,,154,5,1.8135608,['Target'],682694,,115,10,1.7096786,['Target'],682694
167,5,1.4806823,['Target'],475266,,,,,,,,,,,160,5,2.5519841,['Target'],475266,,,,,,,,,,157,5,1.4497615,['Target'],682694,,116,10,2.2874949,['Target'],682694
168,10,2.8040883,['Target'],475266,,,,,,,,,,,161,10,1.4219197,['Target'],475266,,,,,,,,,,159,5,1.9339823,['Target'],682694,,117,10,1.4316804,['Target'],682694
169,10,1.802417,['Target'],475266,,,,,,,,,,,162,5,1.9818504,['Target'],475266,,,,,,,,,,161,5,1.350921,['Target'],682694,,119,10,1.8245824,['Target'],682694
170,5,1.2810048,['Target'],475266,,,,,,,,,,,163,10,2.7572785,['Target'],475266,,,,,,,,,,167,5,1.9799628,['Target'],682694,,120,10,1.0940343,['Target'],682694
171,5,1.4151013,['Target'],475266,,,,,,,,,,,164,5,1.1833748,['Target'],475266,,,,,,,,,,168,5,1.8696012,['Target'],682694,,121,10,2.7232778,['Target'],682694
172,10,1.6093987,['Target'],475266,,,,,,,,,,,165,5,2.1283754,['Target'],475266,,,,,,,,,,170,5,1.4354508,['Target'],682694,,122,10,2.2103609,['Target'],682694
173,10,1.5992027,['Target'],475266,,,,,,,,,,,166,10,2.0689208,['Target'],475266,,,,,,,,,,172,5,1.700086,['Target'],682694,,123,10,1.5613785,['Target'],682694
174,5,2.3168444,['Target'],475266,,,,,,,,,,,167,5,1.4806823,['Target'],475266,,,,,,,,,,175,5,1.6658324,['Target'],682694,,129,10,1.8398398,['Target'],682694
175,5,1.3483072,['Target'],475266,,,,,,,,,,,168,10,2.8040883,['Target'],475266,,,,,,,,,,177,5,1.3850366,['Target'],682694,,130,10,1.9899457,['Target'],682694
176,10,1.8740022,['Target'],475266,,,,,,,,,,,169,10,1.802417,['Target'],475266,,,,,,,,,,178,5,2.2993467,['Target'],682694,,131,10,1.4552148,['Target'],682694
177,10,1.6898997,['Target'],475266,,,,,,,,,,,170,5,1.2810048,['Target'],475266,,,,,,,,,,183,5,1.4685112,['Target'],682694,,134,10,1.3899405,['Target'],682694
178,5,1.5658273,['Target'],475266,,,,,,,,,,,171,5,1.4151013,['Target'],475266,,,,,,,,,,184,5,1.8453441,['Target'],682694,,136,10,1.4078925,['Target'],682694
179,10,1.8395309,['Target'],475266,,,,,,,,,,,172,10,1.6093987,['Target'],475266,,,,,,,,,,185,5,1.5054162,['Target'],682694,,138,10,2.0818635,['Target'],682694
180,10,2.1274407,['Target'],475266,,,,,,,,,,,173,10,1.5992027,['Target'],475266,,,,,,,,,,186,5,1.1503623,['Target'],682694,,139,10,3.6077427,['Target'],682694
181,5,1.6983726,['Target'],475266,,,,,,,,,,,174,5,2.3168444,['Target'],475266,,,,,,,,,,190,5,1.5825797,['Target'],682694,,141,10,1.8595201,['Target'],682694
182,10,1.5763399,['Target'],475266,,,,,,,,,,,175,5,1.3483072,['Target'],475266,,,,,,,,,,191,5,1.5283437,['Target'],682694,,143,10,1.7758595,['Target'],682694
183,10,1.2280902,['Target'],475266,,,,,,,,,,,176,10,1.8740022,['Target'],475266,,,,,,,,,,194,5,1.1372962,['Target'],682694,,144,10,2.110323,['Target'],682694
184,10,3.226535,['Target'],475266,,,,,,,,,,,177,10,1.6898997,['Target'],475266,,,,,,,,,,195,5,2.2109688,['Target'],682694,,145,10,1.410121,['Target'],682694
185,10,2.2109852,['Target'],475266,,,,,,,,,,,178,5,1.5658273,['Target'],475266,,,,,,,,,,198,5,1.3671153,['Target'],682694,,146,10,1.6386422,['Target'],682694
186,10,2.0851514,['Target'],475266,,,,,,,,,,,179,10,1.8395309,['Target'],475266,,,,,,,,,,199,5,2.0467946,['Target'],682694,,149,10,1.3586238,['Target'],682694
187,10,1.6850971,['Target'],475266,,,,,,,,,,,180,10,2.1274407,['Target'],475266,,,,,,,,,,0,5,1.1864032,target,40216,,150,10,1.4734968,['Target'],682694
188,5,1.9811579,['Target'],475266,,,,,,,,,,,181,5,1.6983726,['Target'],475266,,,,,,,,,,3,5,1.8067683,target,40216,,151,10,2.0349694,['Target'],682694
189,10,2.661263,['Target'],475266,,,,,,,,,,,182,10,1.5763399,['Target'],475266,,,,,,,,,,5,5,1.0539465,target,40216,,153,10,2.596407,['Target'],682694
190,10,1.9211696,['Target'],475266,,,,,,,,,,,183,10,1.2280902,['Target'],475266,,,,,,,,,,6,5,1.1545862,target,40216,,155,10,1.6102884,['Target'],682694
191,10,2.7226272,['Target'],475266,,,,,,,,,,,184,10,3.226535,['Target'],475266,,,,,,,,,,13,5,1.1198933,target,40216,,156,10,1.5395334,['Target'],682694
192,5,1.7376126,['Target'],475266,,,,,,,,,,,185,10,2.2109852,['Target'],475266,,,,,,,,,,16,5,1.088469,target,40216,,158,10,2.1420647,['Target'],682694
193,5,2.0184771,['Target'],475266,,,,,,,,,,,186,10,2.0851514,['Target'],475266,,,,,,,,,,18,5,1.2022644,target,40216,,160,10,1.4944522,['Target'],682694
194,10,1.8035596,['Target'],475266,,,,,,,,,,,187,10,1.6850971,['Target'],475266,,,,,,,,,,19,5,1.0507935,target,40216,,162,10,2.0210626,['Target'],682694
195,10,1.578976,['Target'],475266,,,,,,,,,,,188,5,1.9811579,['Target'],475266,,,,,,,,,,20,5,1.167891,target,40216,,163,10,1.5220204,['Target'],682694
196,10,1.4578645,['Target'],475266,,,,,,,,,,,189,10,2.661263,['Target'],475266,,,,,,,,,,21,5,1.1713439,target,40216,,164,10,1.9618925,['Target'],682694
197,10,1.372192,['Target'],475266,,,,,,,,,,,190,10,1.9211696,['Target'],475266,,,,,,,,,,22,5,1.3022278,target,40216,,165,10,1.9902569,['Target'],682694
198,10,2.0722776,['Target'],475266,,,,,,,,,,,191,10,2.7226272,['Target'],475266,,,,,,,,,,24,5,1.2530982,target,40216,,166,10,1.7849471,['Target'],682694
199,10,1.4435888,['Target'],475266,,,,,,,,,,,192,5,1.7376126,['Target'],475266,,,,,,,,,,27,5,1.0535407,target,40216,,169,10,5.4925168,['Target'],682694
0,5,1.0575941,['Target'],682694,,,,,,,,,,,193,5,2.0184771,['Target'],475266,,,,,,,,,,33,5,1.0383346,target,40216,,171,10,2.2437732,['Target'],682694
1,10,2.0428141,['Target'],682694,,,,,,,,,,,194,10,1.8035596,['Target'],475266,,,,,,,,,,36,5,1.0893636,target,40216,,173,10,3.6263303,['Target'],682694
2,5,1.8823117,['Target'],682694,,,,,,,,,,,195,10,1.578976,['Target'],475266,,,,,,,,,,37,5,1.468179,target,40216,,174,10,1.5589925,['Target'],682694
3,5,1.4313933,['Target'],682694,,,,,,,,,,,196,10,1.4578645,['Target'],475266,,,,,,,,,,39,5,1.2700574,target,40216,,176,10,1.9940452,['Target'],682694
4,5,1.2983714,['Target'],682694,,,,,,,,,,,197,10,1.372192,['Target'],475266,,,,,,,,,,40,5,0.8879208,target,40216,,179,10,1.7449755,['Target'],682694
5,5,1.3140057,['Target'],682694,,,,,,,,,,,198,10,2.0722776,['Target'],475266,,,,,,,,,,42,5,0.981437,target,40216,,180,10,2.0939048,['Target'],682694
6,5,1.3137849,['Target'],682694,,,,,,,,,,,199,10,1.4435888,['Target'],475266,,,,,,,,,,43,5,0.7877965,target,40216,,181,10,1.5606777,['Target'],682694
7,10,1.5009049,['Target'],682694,,,,,,,,,,,0,5,1.0575941,['Target'],682694,,,,,,,,,,46,5,1.0718002,target,40216,,182,10,1.766721,['Target'],682694
8,10,2.5620338,['Target'],682694,,,,,,,,,,,1,10,2.0428141,['Target'],682694,,,,,,,,,,51,5,1.1863068,target,40216,,187,10,1.5100445,['Target'],682694
9,10,1.9159761,['Target'],682694,,,,,,,,,,,2,5,1.8823117,['Target'],682694,,,,,,,,,,54,5,1.2230134,target,40216,,188,10,1.9921005,['Target'],682694
10,5,1.2015934,['Target'],682694,,,,,,,,,,,3,5,1.4313933,['Target'],682694,,,,,,,,,,57,5,1.2889308,target,40216,,189,10,2.9875972,['Target'],682694
11,5,1.7394895,['Target'],682694,,,,,,,,,,,4,5,1.2983714,['Target'],682694,,,,,,,,,,61,5,1.222066,target,40216,,192,10,0.9268223,['Target'],682694
12,5,1.5074219,['Target'],682694,,,,,,,,,,,5,5,1.3140057,['Target'],682694,,,,,,,,,,62,5,1.0723106,target,40216,,193,10,1.406314,['Target'],682694
13,10,2.8360102,['Target'],682694,,,,,,,,,,,6,5,1.3137849,['Target'],682694,,,,,,,,,,64,5,1.1350727,target,40216,,196,10,2.54275,['Target'],682694
14,5,1.5179311,['Target'],682694,,,,,,,,,,,7,10,1.5009049,['Target'],682694,,,,,,,,,,68,5,0.9716381,target,40216,,197,10,2.1270073,['Target'],682694
15,10,4.1363487,['Target'],682694,,,,,,,,,,,8,10,2.5620338,['Target'],682694,,,,,,,,,,71,5,1.1891235,target,40216,,4,10,1.0595066,target,40216
16,10,1.7181216,['Target'],682694,,,,,,,,,,,9,10,1.9159761,['Target'],682694,,,,,,,,,,72,5,1.2893193,target,40216,,7,10,1.4575485,target,40216
17,5,1.3317285,['Target'],682694,,,,,,,,,,,10,5,1.2015934,['Target'],682694,,,,,,,,,,73,5,1.255599,target,40216,,8,10,1.7266326,target,40216
18,10,1.7617855,['Target'],682694,,,,,,,,,,,11,5,1.7394895,['Target'],682694,,,,,,,,,,75,5,1.087392,target,40216,,9,10,1.059843,target,40216
19,5,1.4671985,['Target'],682694,,,,,,,,,,,12,5,1.5074219,['Target'],682694,,,,,,,,,,78,5,1.4875435,target,40216,,10,10,1.0783801,target,40216
20,10,1.8543629,['Target'],682694,,,,,,,,,,,13,10,2.8360102,['Target'],682694,,,,,,,,,,80,5,1.0886447,target,40216,,12,10,1.8934964,target,40216
21,10,1.34666,['Target'],682694,,,,,,,,,,,14,5,1.5179311,['Target'],682694,,,,,,,,,,81,5,1.1206764,target,40216,,15,10,1.2414999,target,40216
22,10,2.0963285,['Target'],682694,,,,,,,,,,,15,10,4.1363487,['Target'],682694,,,,,,,,,,85,5,1.0342498,target,40216,,17,10,1.3258388,target,40216
23,5,1.1933645,['Target'],682694,,,,,,,,,,,16,10,1.7181216,['Target'],682694,,,,,,,,,,91,5,1.7731801,target,40216,,23,10,1.1719553,target,40216
24,5,1.5836954,['Target'],682694,,,,,,,,,,,17,5,1.3317285,['Target'],682694,,,,,,,,,,92,5,1.407221,target,40216,,25,10,1.4408653,target,40216
25,5,1.7339024,['Target'],682694,,,,,,,,,,,18,10,1.7617855,['Target'],682694,,,,,,,,,,95,5,2.0689422,target,40216,,26,10,1.5945326,target,40216
26,5,1.2796945,['Target'],682694,,,,,,,,,,,19,5,1.4671985,['Target'],682694,,,,,,,,,,99,5,1.5899332,target,40216,,28,10,1.8937893,target,40216
27,10,1.5424561,['Target'],682694,,,,,,,,,,,20,10,1.8543629,['Target'],682694,,,,,,,,,,100,5,1.1906232,target,40216,,29,10,0.859442,target,40216
28,10,1.0981718,['Target'],682694,,,,,,,,,,,21,10,1.34666,['Target'],682694,,,,,,,,,,101,5,1.2532014,target,40216,,30,10,0.8266466,target,40216
29,5,1.1911381,['Target'],682694,,,,,,,,,,,22,10,2.0963285,['Target'],682694,,,,,,,,,,102,5,1.1222932,target,40216,,34,10,1.6133887,target,40216
30,10,1.9958623,['Target'],682694,,,,,,,,,,,23,5,1.1933645,['Target'],682694,,,,,,,,,,104,5,0.955926,target,40216,,35,10,2.2110463,target,40216
31,10,1.5600036,['Target'],682694,,,,,,,,,,,24,5,1.5836954,['Target'],682694,,,,,,,,,,106,5,1.7165591,target,40216,,38,10,1.011004,target,40216
32,10,1.5463864,['Target'],682694,,,,,,,,,,,25,5,1.7339024,['Target'],682694,,,,,,,,,,107,5,1.0027153,target,40216,,41,10,1.5112492,target,40216
33,5,1.4457452,['Target'],682694,,,,,,,,,,,26,5,1.2796945,['Target'],682694,,,,,,,,,,108,5,0.9036355,target,40216,,45,10,1.279263,target,40216
34,10,1.8528131,['Target'],682694,,,,,,,,,,,27,10,1.5424561,['Target'],682694,,,,,,,,,,112,5,1.0390353,target,40216,,47,10,1.2587431,target,40216
35,5,1.3337659,['Target'],682694,,,,,,,,,,,28,10,1.0981718,['Target'],682694,,,,,,,,,,113,5,1.1009677,target,40216,,48,10,1.3457132,target,40216
36,5,1.4124538,['Target'],682694,,,,,,,,,,,29,5,1.1911381,['Target'],682694,,,,,,,,,,115,5,0.9715446,target,40216,,49,10,1.0955492,target,40216
37,10,1.3270539,['Target'],682694,,,,,,,,,,,30,10,1.9958623,['Target'],682694,,,,,,,,,,118,5,0.9898609,target,40216,,50,10,1.0622223,target,40216
38,10,1.4627592,['Target'],682694,,,,,,,,,,,31,10,1.5600036,['Target'],682694,,,,,,,,,,123,5,1.0995864,target,40216,,52,10,1.2099954,target,40216
39,10,1.1668759,['Target'],682694,,,,,,,,,,,32,10,1.5463864,['Target'],682694,,,,,,,,,,124,5,1.1544195,target,40216,,53,10,1.3439648,target,40216
